Type_1,Type_2,Scale,count_of_type_2,Name,Abbreviation,Description,Extent,Native Resolution (m),start_year,end_year,Citation Key,Citatiion,doi,,,,,,,,,,,,,
Detection,Phenology,local,24,Minimum EVI2 Value (Cycle 1),evi_minimum_1,"Segment minimum EVI2 value, cycle 1",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,Minimum EVI2 Value (Cycle 2),evi_minimum_2,"Segment minimum EVI2 value, cycle 2",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,EVI2 Amplitude (Cycle 1),evi_amplitude_1,"Segment maximum - minimum EVI2, cycle 1",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,EVI2 Amplitude (Cycle 2),evi_amplitude_2,"Segment maximum - minimum EVI2, cycle 2",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,EVI2 Area Under Curve (Cycle 1),evi_area_1,"Sum of daily interpolated EVI2 from Greenup to Dormancy, cycle 1",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Phenology,local,24,EVI2 Area Under Curve (Cycle 2),evi_area_2,"Sum of daily interpolated EVI2 from Greenup to Dormancy, cycle 2",,500,2001,2023,friedlMCD12Q2MODISTerra+Aqua2019,"(Friedl et al., 2019)",https://doi.org/10.5067/MODIS/MCD12Q2.006,,,,,,,,,,,,,
Detection,Spectral differntiation,local,7,SR_B1,u_blue,"Band 1 (ultra blue, coastal aerosol) surface reflectance",,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Spectral differntiation,local,7,SR_B2,blue,Band 2 (blue) surface reflectance,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Spectral differntiation,local,7,SR_B3,green,Band 3 (green) surface reflectance,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Spectral differntiation,local,7,SR_B4,red,Band 4 (red) surface reflectance,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Spectral differntiation,local,7,SR_B5,nir,Band 5 (near infrared) surface reflectance,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Spectral differntiation,local,7,SR_B6,sir1,Band 6 (shortwave infrared 1) surface reflectance,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Spectral differntiation,local,7,SR_B7,sir2,Band 7 (shortwave infrared 2) surface reflectance,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Red Edge Chlorophyll Index,CRE,(RedEdge3 / RedEdge1) - 1,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Distance Red & SWIR,DRS,sqrt (((RED)  (RED)) + ((SWIR)  (SWIR))),,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Disease Stress Water Index,DSWI,(NIR + Green) / (Red + SWIR),,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Enhanced Vegetation Index,EVI,2.5  ((NIR - RED) / (NIR + 6  RED - 7.5 * BLUE + 1)),,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Green Normalized Difference Vegetation Index,GNDVI,(NIR - Green)/(NIR + Green),,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Leaf Area Index,LAI,3.618 * EVI - 0.118,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Normalized Burn Ratio,NBR,(NIR - SWIR2) / (NIR + SWIR2),,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Normalized distance red & SWIR,NDRS,(DRS - DRSmin) / (DRSmax - DRSmin),,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Normalized Difference Vegetation Index,NDVI,(NIR - Red)/(NIR + Red),,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Normalized Difference Water Index,NDWI,(Green - NIR) / (Green + NIR),,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,NDVI max,,,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,NDVI integral,,,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,NDVI amplitude,,,,30,1985,2020,,,,,,,,,,,,,,,,
Detection,Vegetation productivity,local,14,Vegetation resiliance,,"ABoVE MODIS-derived Annual Vegetation Resilience, 2000-2019",,300,2000,2019,zhangArcticBorealVulnerabilityExperiment2024,"(Zhang & Liu, 2024)",https://doi.org/10.3334/ORNLDAAC/2374,,,,,,,,,,,,,
Habitat,Climate,global,37,Minimum temperature,tmin,minimum temperature for a given month (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Maximum temperature,tmax,maximum temperature for a given month (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Mean temperature,tave,mean temperature for a given month (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Total precipitation,ppt,total precipitation for a given month (mm),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Mean annual temperature,mat,mean annual temperature (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Mean temperature of the warmest month,mwmt,mean temperature of the warmest month (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Mean temperature of the coldest month,mcmt,mean temperature of the coldest month (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Temperature difference,td,"difference between mcmt and mwmt, as a measure of continentality (°C)",,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Mean annual precipitation,map,mean annual precipitation (mm),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Mean summer precipitation,msp,mean summer (May to Sep) precipitation (mm),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Annual heat moisture index,ahm,"annual heat moisture index, calculated as (mat+10)/(map/1000)",,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Summer heat moisture index,shm,"summer heat moisture index, calculated as mwmt/(MSP/1000)",,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Chilling degree days,dd_0,degree-days below 0°C ,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Growing degree days,dd5,degree-days above 5°C,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Degree-days below 18°C,dd_18,degree-days below 18°C,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Degree-days above 18°C,dd18,degree-days above 18°C,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Number of frost-free days,nffd,the number of frost-free days,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Frost-free period,ffp,frost-free period,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Frost-free start day,bffp,the julian date on which the frost-free period begins,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Frost-free end day,effp,the julian date on which the frost-free period ends,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Precipitation as snow,pas,precipitation as snow (mm),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Extreme minimum temperature,emt,extreme minimum temperature over 30 years,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Extreme maximum temperature,ext,extreme maximum temperature over 30 years,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Hargreave's reference evaporation,eref,Hargreave's reference evaporation,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Hargreave's climatic moisture index,cmd,Hargreave's climatic moisture index,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Mean annual solar radiation,mar,mean annual solar radiation (MJ m-2 d-1),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Mean annual relative humidity,rh,mean annual relative humidity (%),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Hogg’s climate moisture index,cmi,Hogg’s climate moisture index (mm),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Degree-days 10° - 40°,dd1040,degree-days above 10°C and below 40°C,,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Winter mean temperature,tave_wt,winter (December to February) mean temperature (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Spring mean temperature,tave_sp,spring (March to May) mean temperature (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Summer mean temperature,tave_sm,summer (June to August) mean temperature (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Autumn mean temperature,tave_at,autumn (September to November) mean temperature (°C),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Winter precipitation,ppt_wt,winter (December to February) precipitation (mm),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Spring precipitation,ppt_sp,spring (March to May) precipitation (mm),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Summer precipitation,ppt_sm,summer (June to August) precipitation (mm),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Climate,global,37,Autumn precipitation,ppt_at,autumn (September to November) precipitation (mm),,1000,1961,2020,wangLocallyDownscaledSpatially2016,"(Wang et al., 2016)",https://doi.org/10.1371/journal.pone.0156720,,,,,,,,,,,,,
Habitat,Dispersal corridors,regional,2,Road density,,,,,,,,,,,,,,,,,,,,,,
Habitat,Dispersal corridors,regional,2,Stream density,,,,,,,,,,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Land Cover Class (SCANFI),lc_scanfi,"NFI land cover class values including broadleaf forest, mixedwood, conifer forests, shrub, and water",,30,1985,2020,guindonNewApproachSpatializing2024a,"(Guindon et al., 2024)",https://doi.org/10.1139/cjfr-2023-0118,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Fractional Broadleaf,prcb,Proportion of the canopy covered by broadleaf tree species (%),,30,1985,2020,guindonNewApproachSpatializing2024a,"(Guindon et al., 2024)",https://doi.org/10.1139/cjfr-2023-0118,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Fractional Coniferous,prcc,Other coniferous tree cover (%),,30,1985,2020,guindonNewApproachSpatializing2024a,"(Guindon et al., 2024)",https://doi.org/10.1139/cjfr-2023-0118,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Balsam fir tree cover (%) (Abies balsamea),sps_balsamFir,Balsam fir tree cover percentage.,,30,1985,2020,guindonNewApproachSpatializing2024a,"(Guindon et al., 2024)",https://doi.org/10.1139/cjfr-2023-0118,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Black spruce tree cover (%) (Picea mariana),sps_blackSpruce,Black spruce tree cover percentage.,,30,1985,2020,guindonNewApproachSpatializing2024a,"(Guindon et al., 2024)",https://doi.org/10.1139/cjfr-2023-0118,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Douglas fir tree cover (%) (Pseudotsuga menziesii),sps_douglasFir,Douglas fir tree cover percentage.,,30,1985,2020,guindonNewApproachSpatializing2024a,"(Guindon et al., 2024)",https://doi.org/10.1139/cjfr-2023-0118,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Jack pine tree cover (%) (Pinus banksiana),sps_jackPine,Jack pine tree cover percentage.,,30,1985,2020,guindonNewApproachSpatializing2024a,"(Guindon et al., 2024)",https://doi.org/10.1139/cjfr-2023-0118,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Lodgepole pine tree cover (%) (Pinus contorta),sps_lodgepolePine,Lodgepole pine tree cover percentage.,,30,1985,2020,guindonNewApproachSpatializing2024a,"(Guindon et al., 2024)",https://doi.org/10.1139/cjfr-2023-0118,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Ponderosa pine tree cover (%) (Pinus ponderosa),sps_ponderosaPine,Ponderosa pine tree cover percentage.,,30,1985,2020,guindonNewApproachSpatializing2024a,"(Guindon et al., 2024)",https://doi.org/10.1139/cjfr-2023-0118,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Disturbance age,disturbance_age,Survey year - disturbance origin year,,,,2017,ABMI2017,"(Alberta Biodiversity Monitoring Institute, 2017)",,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Human footprint,disturbance,Human Footprint from the ABMI Wall-to-Wall Vegetation Layer ,,,,2017,ABMI2017,"(Alberta Biodiversity Monitoring Institute, 2017)",,,,,,,,,,,,,,
Habitat,Landscape composition,regional,12,Vegetation Type (ABMI),veg_type,Vegertation type from the ABMI Wall-to-Wall Vegetation Layer ,,,,2017,ABMI2017,"(Alberta Biodiversity Monitoring Institute, 2017)",,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Slope,slope,"Terrain slope is the rate of change of elevation, expressed in degrees or percentages. Important for soil erosion, water flow, and agricultural suitability.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Aspect,aspect,"The angular direction that a slope faces, expressed in degrees. Sine (aspect-sine) and cosine (aspect-cosine) are used for regression analysis and reprojection.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Northness,northness,"A continuous measure describing the north-south orientation of a slope, calculated as the sine of the slope multiplied by the cosine of the aspect.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Eastness,eastness,"A continuous measure describing the east-west orientation of a slope, calculated as the sine of the slope multiplied by the sine of the aspect.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Convergence,convergence,"Highlights convergent areas (channels) and divergent areas (ridges), ranging from -100 for ridges to +100 for sink areas. Useful in delineating landforms.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Compound Topographic Index,cti,"A proxy for long-term soil moisture availability, computed as the logarithm of the cumulative upstream catchment area divided by the tangent of the local slope angle.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Stream Power Index,spi,"Reflects the erosive power associated with water flow, calculated as the product of the upstream catchment area and the tangent of the local slope angle. Commonly used in soil erosion models.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Terrain Ruggedness,ruggedness,Describes ruggedness and topographic complexity within an area. Derived using DEMs with a moving window approach to measure topographic variability.,,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Elevation Standard Deviation,elev_stdev,"Measures the amount of variation within the elevation dataset using a 3x3 moving window. Values close to 0 indicate flat areas, while high values indicate steep terrain.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Terrain Ruggedness Index,tri,Mean of the absolute differences in elevation between a focal cell and its 8 surrounding cells. Indicates terrain ruggedness.,,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Roughness,roughness,"Largest inter-cell absolute difference between a focal cell and its 8 surrounding cells, indicating terrain ruggedness. Expressed in metres.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Vector Ruggedness Measure,vrm,Quantifies terrain ruggedness by measuring the 3D orientation of grid cells using sine and cosine of slope. Captures local variation of slope in terrain.,,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Topographic Position Index,tpi,"Difference between the elevation of a focal cell and the mean of its 8 surrounding cells. Positive values indicate ridges, negative values indicate valleys.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Multiscale Deviation,dev,"Unitless measure of topographic position, representing the difference between elevation of the center cell and surrounding cells divided by standard deviation.",,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
Habitat,Terrain,regional,17,Multiscale Roughness,multiscale_rough,Spherical standard deviation of the sum of 3D vector components used to calculate vector ruggedness. Provides roughness measurement over different window sizes.,,90,,,amatulliGeomorpho90mEmpiricalEvaluation2020,"(Amatulli et al., 2020)",https://doi.org/10.1038/s41597-020-0479-6,,,,,,,,,,,,,
